,N_STEPS,LOOKUP_STEP,SCALE,SHUFFLE,SPLIT_BY_DATE,N_LAYERS,mae,accuracy_score,total_buy_profit,total_sell_profit,total_profit,profit_per_trade,features
0,90,1,TRUE,TRUE,TRUE,2,0.274151861,0.494366197,-8.479990005,0.180009842,-8.299980164,-0.011690113,
1,90,2,TRUE,TRUE,TRUE,2,0.400679271,0.48028169,-15.46999741,2.090003967,-13.37999344,-0.018845061,
2,30,2,TRUE,TRUE,TRUE,2,0.399831901,0.475069252,-19.20999146,0.650009155,-18.5599823,-0.025706347,
3,30,1,TRUE,TRUE,TRUE,3,0.274177712,0.491689751,-11.10999489,-1.249994278,-12.35998917,-0.017119099,
4,60,1,TRUE,FALSE,TRUE,2,0.273207523,0.511173184,-2.029993057,7.930007935,5.900014877,0.008240244,
5,30,1,TRUE,FALSE,TRUE,2,0.273346473,0.524930748,-1.559997559,8.300003052,6.740005493,0.009335188,
6,30,1,TRUE,TRUE,TRUE,4,0.274790217,0.509695291,-5.649997711,4.210002899,-1.439994812,-0.001994453,
7,30,3,TRUE,TRUE,TRUE,2,0.504372145,0.466759003,-33.52000046,-3.909999847,-37.43000031,-0.051842106,
8,60,1,TRUE,TRUE,FALSE,2,0.265749494,0.541899441,3.230012894,13.19001389,16.42002678,0.022932998,
9,30,1,TRUE,TRUE,TRUE,2,0.274067559,0.501385042,-7.099988937,2.760011673,-4.339977264,-0.006011049,
10,30,1,TRUE,TRUE,FALSE,2,0.268807229,0.508310249,-3.059991837,6.800008774,3.740016937,0.005180079,
11,30,1,FALSE,TRUE,TRUE,2,2200.520669,0.46398892,-5.270004272,4.589996338,-0.680007935,-0.000941839,
12,60,1,TRUE,TRUE,TRUE,2,0.273902094,0.527932961,-2.879987717,7.080013275,4.200025558,0.005865957,
13,60,2,TRUE,TRUE,TRUE,2,0.394784435,0.48603352,-13.939991,6.070011139,-7.869979858,-0.010991592,
14,60,1,TRUE,TRUE,TRUE,2,0.269160508,0.5,-4.93000222,5.02999877,0.09999655,0.00013966,only adjclose
15,60,1,TRUE,TRUE,TRUE,2,0.271045195,0.511173184,-7.23999401,2.72000698,-4.51998703,-0.006312831,add change percentage
